,INPC,Subyacente,Mercancìas,Servicios,No subyacente,Agropecuarios,Energéticos
2Q Ene 2014,0.115617218,0.241627346,0.044641574,0.407347075,-0.2769224,-0.957937966,0.124077046
1Q Feb 2014,0.119037044,0.118505618,0.096852751,0.136655888,0.123579978,-0.602843849,0.546694529
2Q Feb 2014,0.151724872,0.084510482,0.01347625,0.144030455,0.361323997,0.757923845,0.132960552
1Q Mar 2014,0.172757475,0.107537018,0.126526182,0.091646637,0.377701107,0.584485351,0.257890949
2Q Mar 2014,0.05041125,0.129738494,0.09909623,0.155389279,-0.199271796,-0.497532321,-0.02589762
1Q Abr 2014,-0.185632077,0.262615822,0.149552156,0.357208757,-1.586285591,-0.645796646,-2.130398041
2Q Abr 2014,-0.050479556,-0.072929491,0.067721261,-0.190359241,0.020465753,-0.459013519,0.302072611
1Q May 2014,-0.368598263,0.055680247,0.131961028,-0.008171491,-1.717708868,0.824516627,-3.199474419
2Q May 2014,0.148518374,0.149256248,0.219618556,0.090276098,0.145144163,0.396356852,-0.007364822
1Q Jun 2014,0.080809157,0.115748845,0.092856841,0.134962521,-0.030743781,-0.479544378,0.242819133
2Q Jun 2014,0.035491828,0.044129056,-0.061938772,0.133116286,0.006194326,-0.238493493,0.154267107
1Q Jul 2014,0.197796739,0.140171143,-0.021305988,0.275380959,0.384992144,0.476796243,0.329654777
2Q Jul 2014,0.118620812,0.051285476,0.021905552,0.075813411,0.336399064,0.84001266,0.032387342
1Q Ago 2014,0.189214759,0.146982055,0.402082483,-0.06587474,0.327398558,0.644093779,0.134678618
2Q Ago 2014,0.219745307,0.079186038,0.064657182,0.09136574,0.671114853,1.753925596,0.008835094
1Q Sep 2014,0.32405206,0.239091729,0.236899935,0.240928644,0.598382267,1.199680672,0.224192607
2Q Sep 2014,0.015799175,0.028365081,0.102782388,-0.034000622,-0.025943224,-0.122252469,0.034573622
1Q Oct 2014,0.497595394,0.115766706,0.075664449,0.149420538,1.715210644,-0.126518292,2.87066457
2Q Oct 2014,0.094310789,0.073080196,0.082076347,0.065536182,0.164126059,0.584071258,-0.091660774
1Q Nov 2014,0.73719934,0.125435259,0.127235793,0.123925114,2.65544504,0.926839078,3.715452795
2Q Nov 2014,0.044168081,-0.001277824,-0.094325893,0.076766129,0.184615295,0.783635042,-0.172836415
1Q Dic 2014,0.414650404,0.209306998,0.199781012,0.217283248,1.04152806,2.444962487,0.196035767
2Q Dic 2014,0.106036311,0.046841559,0.065217329,0.03145794,0.287384011,0.921810008,-0.103401602
1Q Ene 2015,-0.186874037,-0.091748996,0.210308538,-0.344707424,-0.475189559,-1.547437006,0.192057929
2Q Ene 2015,0.085415516,0.070835076,-0.051393571,0.173765678,0.13068122,0.646850591,-0.184948497
1Q Feb 2015,0.105169694,0.279307916,0.362737431,0.209208569,-0.424240322,-0.975336288,-0.084445276
2Q Feb 2015,0.083530678,0.050193766,-0.018976947,0.108401591,0.185755233,-0.441239976,0.568901242
1Q Mar 2015,0.17982826,0.147353888,0.131527563,0.160654948,0.277559382,-0.140499032,0.530461709
2Q Mar 2015,0.370176328,0.179198453,0.046120846,0.291009531,0.954722615,2.204830488,0.203523511
1Q Abr 2015,-0.450959251,0.025752199,0.236032373,-0.15049265,-1.894894711,-0.538280077,-2.726376031
2Q Abr 2015,0.018051317,0.080717706,0.037780954,0.116844152,-0.174442941,-0.566441762,0.071221121
1Q May 2015,-0.530269174,0.033913359,0.023634004,0.04255545,-2.273541155,-0.867198398,-3.149274389
2Q May 2015,0.042336637,0.082945858,0.074426145,0.090107223,-0.086937672,-0.447413438,0.142820636
1Q Jun 2015,0.132138045,0.125615982,0.177132002,0.082320252,0.154086208,0.247537418,0.094873789
2Q Jun 2015,0.028462753,0.083519073,-0.011877098,0.163769052,-0.149327602,-0.532259474,0.093675195
1Q Jul 2015,0.093986583,0.098874681,-0.051871077,0.225463934,0.079488809,0.237076656,-0.019888697
2Q Jul 2015,0.078392185,0.063724818,0.005037818,0.112871052,0.125143351,0.249848522,0.046300083
1Q Ago 2015,0.115344225,0.121620976,0.274333771,-0.006127497,0.094456102,-0.137386979,0.24133418
2Q Ago 2015,0.111772191,0.094408743,0.126942119,0.067117343,0.167253604,0.487227074,-0.034691301
1Q Sep 2015,0.320342156,0.271355481,0.337331401,0.215976914,0.476331118,0.979963758,0.156813838
2Q Sep 2015,-0.003424335,0.104076769,0.191473042,0.030629652,-0.344936597,-0.66170054,-0.142321906
1Q Oct 2015,0.462301061,0.155951722,0.20063058,0.1183436,1.437066408,0.003275727,2.349405328
2Q Oct 2015,0.10822603,0.086614456,0.106779597,0.069626636,0.177231788,0.748090635,-0.177686263
1Q Nov 2015,0.520966341,0.002055586,0.118497388,-0.096075482,2.148798888,0.284385441,3.318704353
2Q Nov 2015,-0.05843199,-0.020344842,0.025771834,-0.059293041,-0.173701456,-0.446044038,-0.007827402
1Q Dic 2015,0.257590008,0.271720487,0.159278576,0.36676501,0.212814311,1.044158335,-0.291308334
2Q Dic 2015,0.355811732,0.088656304,0.080310501,0.095696233,1.179892717,2.996780173,0.063385213
